t,res_kind,mkind,ref_b_x,ref_b_y,ref_b_yaw,contra_b,raw_x,raw_y,raw_yaw,chosen_x,chosen_y,chosen_yaw,ref_a_x,ref_a_y,ref_a_yaw,contra_a,resid_to_ref,reloc_x,reloc_y,reloc_yaw,prior_x,prior_y,prior_yaw,resid_m
1787538052.530,full,ok,-1.9314,0.0404,0.0267,0,-1.9478,0.0445,0.0284,-1.9478,0.0445,0.0284,-1.9314,0.0404,0.0267,0,0.0169,,,,-1.9487,0.0484,0.0275,0.5064
1787538052.628,full,ok,-1.9314,0.0404,0.0267,0,-1.9471,0.0450,0.0282,-1.9471,0.0450,0.0282,-1.9314,0.0404,0.0267,0,0.0164,,,,-1.9481,0.0451,0.0282,0.5142
1787538052.775,full,ok,-1.9314,0.0404,0.0267,0,-1.9469,0.0477,0.0278,-1.9469,0.0477,0.0278,-1.9314,0.0404,0.0267,0,0.0171,,,,-1.9475,0.0449,0.0282,0.5146
1787538052.887,full,ok,-1.9314,0.0404,0.0267,0,-1.9476,0.0454,0.0281,-1.9476,0.0454,0.0281,-1.9314,0.0404,0.0267,0,0.0169,,,,-1.9470,0.0472,0.0279,0.5106
1787538053.135,full,ok,-1.9314,0.0404,0.0267,0,-1.9448,0.0471,0.0279,-1.9448,0.0471,0.0279,-1.9314,0.0404,0.0267,0,0.0150,,,,-1.9472,0.0453,0.0280,0.5070
1787538053.281,full,ok,-1.9314,0.0404,0.0267,0,-1.9477,0.0450,0.0283,-1.9477,0.0450,0.0283,-1.9314,0.0404,0.0267,0,0.0170,,,,-1.9453,0.0469,0.0279,0.5104
1787538053.438,full,ok,-1.9314,0.0404,0.0267,0,-1.9484,0.0417,0.0289,-1.9484,0.0417,0.0289,-1.9314,0.0404,0.0267,0,0.0171,,,,-1.9469,0.0453,0.0282,0.5127
1787538053.585,full,ok,-1.9314,0.0404,0.0267,0,-1.9477,0.0435,0.0286,-1.9477,0.0435,0.0286,-1.9314,0.0404,0.0267,0,0.0166,,,,-1.9479,0.0421,0.0288,0.5072
1787538053.744,full,ok,-1.9314,0.0404,0.0267,0,-1.9516,0.0428,0.0284,-1.9516,0.0428,0.0284,-1.9314,0.0404,0.0267,0,0.0203,,,,-1.9478,0.0432,0.0287,0.5148
1787538053.912,full,ok,-1.9314,0.0404,0.0267,0,-1.9485,0.0422,0.0286,-1.9485,0.0422,0.0286,-1.9314,0.0404,0.0267,0,0.0172,,,,-1.9508,0.0421,0.0284,0.5099
1787538054.070,full,ok,-1.9314,0.0404,0.0267,0,-1.9483,0.0422,0.0289,-1.9483,0.0422,0.0289,-1.9314,0.0404,0.0267,0,0.0170,,,,-1.9492,0.0422,0.0286,0.5035
1787538054.155,full,ok,-1.9314,0.0404,0.0267,0,-1.9482,0.0408,0.0291,-1.9482,0.0408,0.0291,-1.9314,0.0404,0.0267,0,0.0168,,,,-1.9487,0.0421,0.0289,0.5061
1787538054.276,full,ok,-1.9314,0.0404,0.0267,0,-1.9473,0.0423,0.0288,-1.9473,0.0423,0.0288,-1.9314,0.0404,0.0267,0,0.0160,,,,-1.9484,0.0410,0.0290,0.5068
1787538054.395,full,ok,-1.9314,0.0404,0.0267,0,-1.9486,0.0446,0.0283,-1.9486,0.0446,0.0283,-1.9314,0.0404,0.0267,0,0.0177,,,,-1.9477,0.0419,0.0289,0.5026
1787538054.528,full,ok,-1.9314,0.0404,0.0267,0,-1.9503,0.0421,0.0287,-1.9503,0.0421,0.0287,-1.9314,0.0404,0.0267,0,0.0190,,,,-1.9482,0.0440,0.0284,0.5115
1787538054.677,full,ok,-1.9314,0.0404,0.0267,0,-1.9483,0.0424,0.0287,-1.9483,0.0424,0.0287,-1.9314,0.0404,0.0267,0,0.0170,,,,-1.9496,0.0423,0.0286,0.5035
1787538054.768,full,ok,-1.9314,0.0404,0.0267,0,-1.9487,0.0419,0.0287,-1.9487,0.0419,0.0287,-1.9314,0.0404,0.0267,0,0.0173,,,,-1.9488,0.0423,0.0287,0.5026
1787538054.930,full,ok,-1.9314,0.0404,0.0267,0,-1.9493,0.0438,0.0284,-1.9493,0.0438,0.0284,-1.9314,0.0404,0.0267,0,0.0182,,,,-1.9488,0.0416,0.0288,0.5058
1787538055.027,full,ok,-1.9314,0.0404,0.0267,0,-1.9500,0.0421,0.0287,-1.9500,0.0421,0.0287,-1.9314,0.0404,0.0267,0,0.0186,,,,-1.9491,0.0435,0.0285,0.5056
1787538055.134,full,ok,-1.9314,0.0404,0.0267,0,-1.9500,0.0421,0.0287,-1.9500,0.0421,0.0287,-1.9314,0.0404,0.0267,0,0.0186,,,,-1.9497,0.0424,0.0286,0.5056
1787538055.240,full,ok,-1.9314,0.0404,0.0267,0,-1.9494,0.0420,0.0287,-1.9494,0.0420,0.0287,-1.9314,0.0404,0.0267,0,0.0180,,,,-1.9499,0.0421,0.0287,0.5092
1787538055.336,full,ok,-1.9314,0.0404,0.0267,0,-1.9486,0.0438,0.0285,-1.9486,0.0438,0.0285,-1.9314,0.0404,0.0267,0,0.0175,,,,-1.9496,0.0419,0.0287,0.5026
1787538055.643,full,ok,-1.9314,0.0404,0.0267,0,-1.9491,0.0430,0.0287,-1.9491,0.0430,0.0287,-1.9314,0.0404,0.0267,0,0.0179,,,,-1.9491,0.0431,0.0286,0.5029
1787538055.745,full,ok,-1.9314,0.0404,0.0267,0,-1.9491,0.0430,0.0287,-1.9491,0.0430,0.0287,-1.9314,0.0404,0.0267,0,0.0179,,,,-1.9491,0.0430,0.0287,0.5029
1787538055.835,full,ok,-1.9314,0.0404,0.0267,0,-1.9498,0.0421,0.0290,-1.9498,0.0421,0.0290,-1.9314,0.0404,0.0267,0,0.0185,,,,-1.9491,0.0430,0.0287,0.5133
1787538056.003,full,ok,-1.9314,0.0404,0.0267,0,-1.9503,0.0434,0.0284,-1.9503,0.0434,0.0284,-1.9314,0.0404,0.0267,0,0.0191,,,,-1.9496,0.0419,0.0289,0.5115
1787538056.167,full,ok,-1.9314,0.0404,0.0267,0,-1.9493,0.0468,0.0279,-1.9493,0.0468,0.0279,-1.9314,0.0404,0.0267,0,0.0190,,,,-1.9501,0.0432,0.0285,0.5126
1787538056.256,full,ok,-1.9314,0.0404,0.0267,0,-1.9481,0.0461,0.0280,-1.9481,0.0461,0.0280,-1.9314,0.0404,0.0267,0,0.0176,,,,-1.9496,0.0462,0.0280,0.5077
1787538056.399,full,ok,-1.9314,0.0404,0.0267,0,-1.9495,0.0414,0.0288,-1.9495,0.0414,0.0288,-1.9314,0.0404,0.0267,0,0.0182,,,,-1.9487,0.0462,0.0280,0.5053
1787538056.544,full,ok,-1.9314,0.0404,0.0267,0,-1.9501,0.0420,0.0287,-1.9501,0.0420,0.0287,-1.9314,0.0404,0.0267,0,0.0188,,,,-1.9492,0.0422,0.0286,0.5085
1787538056.651,full,ok,-1.9314,0.0404,0.0267,0,-1.9498,0.0429,0.0285,-1.9498,0.0429,0.0285,-1.9314,0.0404,0.0267,0,0.0185,,,,-1.9499,0.0420,0.0287,0.4988
1787538056.745,full,ok,-1.9314,0.0404,0.0267,0,-1.9501,0.0420,0.0287,-1.9501,0.0420,0.0287,-1.9314,0.0404,0.0267,0,0.0188,,,,-1.9498,0.0426,0.0285,0.5085
